Phase Number,Phase Name,Step,Category,Task,Acceptance Criteria,Cursor Prompt,Status,Notes
1,Project Scaffolding,1.1,Setup,Initialize Expo project with Expo Router and TypeScript,"Expo app runs locally; TypeScript configured; Expo Router file-based routing works","Create a new Expo project for Grip Kitchen using Expo Router and TypeScript. Configure React Native Web. Use the app name Grip Kitchen. Set up the initial folder structure with app/ routes for: today (dashboard), pantry, recipes, planner, shop, settings. Add a root layout with placeholder screens for each tab.",,
1,Project Scaffolding,1.2,Setup,Configure NativeWind or Tailwind for responsive styling,"Tailwind/NativeWind works on web and native; test class renders correctly","Set up NativeWind (or Tailwind CSS with React Native Web) for Grip Kitchen. Configure theme tokens for: bold modern mono aesthetic, soft rounded corners (8-12px), modern sans font (Inter or DM Sans), functional status colors (green in-stock, red missing, amber expiring), and one brand accent for primary actions. Support manual dark mode toggle (light + dark themes).",,
1,Project Scaffolding,1.3,Setup,Configure responsive breakpoints,"Mobile layout below 768px; desktop layout at 768px+; tablet uses mobile layout per spec","Implement responsive layout utilities for Grip Kitchen. Breakpoint: 768px. Below 768px use mobile layout (bottom tabs + FAB). At 768px+ use desktop layout (sidebar). IMPORTANT: tablets at 768px+ still use mobile layout (bottom tabs + FAB) per product spec — only wider desktop views get sidebar + spreadsheet.",,
1,Project Scaffolding,1.4,Setup,Create shared UI component library foundation,"Reusable Button, Card, Input, Badge, Text components exist with dark mode support","Create a shared UI component library for Grip Kitchen matching our design system: bold modern + neutral mono base, soft rounded cards with light shadows, spacious mobile spacing, dense desktop spacing. Components needed: Button (primary accent + ghost), Card, Input, Badge (status colors), Text/Heading, IconButton, EmptyState (text + CTA only, no illustrations). All must support dark mode.",,
1,Project Scaffolding,1.5,Setup,Set up mobile navigation (bottom tabs + FAB),"5 tabs visible on mobile; FAB present; FAB action is context-aware per tab","Implement mobile navigation for Grip Kitchen: bottom tab bar with tabs for Today, Pantry, Recipes, Planner, Shop. Add a floating action button (FAB) that is context-aware: Today=quick add meal note, Pantry=add inventory item, Recipes=add recipe, Planner=add meal to plan, Shop=add item to shopping list. Use spacious touch targets and tap-only interactions (no swipe gestures).",,
1,Project Scaffolding,1.6,Setup,Set up desktop navigation (sidebar),"Sidebar ~240px with icons + labels; all main sections accessible","Implement desktop navigation for Grip Kitchen: persistent left sidebar (~240px) with icons + labels for Today, Pantry, Recipes, Planner, Shop, Settings. Use dense/pro information density on desktop content areas. Sidebar should only appear on desktop-width views per our breakpoint rules.",,
1,Project Scaffolding,1.7,Test,Verify web + PWA baseline,"App loads in browser; basic navigation works on mobile and desktop widths","Verify the Grip Kitchen Expo web build runs correctly. Test navigation at 375px (phone), 768px (tablet — should still show mobile tabs), and 1280px (desktop — should show sidebar). Fix any React Native Web layout issues.",,
2,Backend Integration,2.1,Setup,Create Supabase project and env config,"Supabase URL and anon key in .env; client initializes without errors","Set up Supabase integration for Grip Kitchen. Create supabase client config using @supabase/supabase-js. Add .env.example with SUPABASE_URL and SUPABASE_ANON_KEY placeholders. Add typed database helpers structure. Do NOT commit secrets.",,
2,Backend Integration,2.2,Database,Create PostgreSQL schema with RLS,"All tables exist; RLS enabled; users only see own data","Create Supabase SQL migration for Grip Kitchen schema with Row Level Security. Tables: users (id UUID refs auth.users, email, created_at), inventory (id, user_id, name, category, quantity, unit_of_measure, price_per_unit, expiration_date, location_id, min_threshold), storage_locations (id, user_id, name, sort_order), recipes (id, user_id, title, instructions, base_serving_size, time_to_cook, dietary_tags text[], hero_image_url), recipe_ingredients (id, recipe_id, inventory_item_id, required_quantity), meal_plan (id, user_id, recipe_id, planned_date, meal_label, target_servings, is_cooked), shopping_list (id, user_id, inventory_item_id, target_quantity, is_purchased), waste_log (id, user_id, inventory_item_id, quantity_wasted, cost_wasted, reason, logged_at), barcode_cache (id, user_id, barcode, inventory_item_id). Enable RLS on all tables.",,
2,Backend Integration,2.3,Database,Generate TypeScript types from schema,"Database types match schema; imported across services","Generate TypeScript types for the Grip Kitchen Supabase schema. Create a types/database.ts file with all table Row/Insert/Update types. Export helper types for InventoryItem, Recipe, MealPlanEntry, ShoppingListItem, etc.",,
